product_uid,product_description
106721,The Eaton cutler-hammer 125-Amp 8-Space 16-Circuit Type BR Main Lug Indoor Load Center with Door and Ground Bar features non-bolted connections to eliminate hot spots and faults for a longer product life. The main lug panel has a 1-piece aluminum buss and offers a variety of knockouts to allow for multiple wiring configurations. This type BR load center is compatible with cutler-hammer 1 in. type BR circuit breakers and has pre-drilled mounting holes to provide easy installation of additional ground bars.For use as an indoor main lug load center1-piece aluminum bussAbsence of bolted connections to eliminate hot spots and faults for a longer product lifeVariety of knockouts for multiple wiring configurationsPre-drilled mounting holes to provide easy installation of additional ground barsCompatible with cutler-hammer 1 in. type BR circuit breakersANSI certified and UL listed
106749,"Enjoy your outdoor setting with the uniquely styled DANIELLA 36 in. All-Weather Wicker Java colored square folding table. Fitting flush against the wall or vertical surface, it provides the perfect addition to compliment your patio, deck or balcony. The drop leaf, gate-leg feature lets you fold the top down so the table will stand a mere 6 in. away from the wall and can be conveniently folded and stored when not in use. It compliments our Off-The-Wall Brella and the Terrace Mates stackable chairs. No assembly required.An extraordinary NEW product for expanding your outdoor leisure living36 in. half-square table with drop leaf, gate-leg design is a space saver that sets up in an instantFolds flat against the wall when not in use or for easy storageStrong, durable aluminum frame wrapped with high quality all-weather wicker can withstand the elements year after yearUse with Off-The-Wall Brella and Terrace Mates stackable chairs to create a complete 5-piece settingSpecially designed for balconies, decks, small patios or any area where space is at a premium"
106809,"CE TECH 2-Port Category 5e and Category 6 Surface Mounting Box is designed to hold standard size keystone inserts such as: category 5e jacks, category 6 jacks and category 3 jacks. It mounts easily and quickly to most walls, floors, baseboards and furniture. Keystone ports are located at the front of the mounting box.Mounting to multiple surfaces is easy with the included mounting screws, double sided tape and 2 cable tiesHolds 2 standard size keystone insertsContains a snap on removable cover with a window for labelingRemovable keystone frame for easy install of keystone insertsLow profile design allows box to mount vertically or horizontallyWire entrance is located at the rear of the mounting boxColor: white"
106849,"The UT Wire 8 ft. Expandable Flexi Cable Wrap wraps around bundles of cables or cords to keep it organized. Made from a soft and flexible material, Flexi Cable Wrap leaves no plastic cut from sharp edges on your finger when inserting cords or extra complicated tools needed for installation. It is a smart expandable system that easily self wraps and conforms to bundle cords.Overlapping wrap that is expandable for either small or large groupings of cords.Soft and flexible rubber material that is easy to insert cordsAllows cables to breakout and reroute midwayCut to desire length with a pair of scissors to wrap entire length or sections of cordsideal for keeping cords organized behind the TV entertainment system or computer monitor"
106926,"Home Armor Fabric Guard UV protects outdoor fabric from the elements to maintain that new appearance. It leaves a barrier to repel water, absorb UV rays and provide a mold and mildew resistant coating for up to 3 months. The barrier stays strong through rain and repeated washings. Keep your outdoor furniture looking like new with Fabric Guard UV. It works on fabrics, carpets, canvas, plastic, vinyl, resin, wicker, wood, rattan, aluminum, fiberglass, cultured marble, acrylic, PVC, porcelain, rubber, and more.California residents: see&nbsp;Proposition 65 informationProtects from weather to maintain that new appearanceCoating resists mold & mildew for up to 3 monthsWorks indoors, tooWash dirty items before applyingSay Goodbye to Mold & Mildew StainsConvenient 32 oz. trigger sprayerOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT"
106944,"Creamy Lemon Oil formulation cuts through soap scum, mildew, dirt and grease. Deep cleans and polishes non-porous hard surfaces without any risk of scratching. Excellent whiteboard cleaner, removes the toughest dry erase marker ghost stains.Made with only 100% sustainable, plant-based ingredientsNon-toxic formula does not contain dyes or synthetic perfumes, neutral pH, grey water and septic safeLemon scent17 oz. squeeze bottle"
107135,"Pine croft decorative glass Bi-fold doors bring light and elegance to any bedroom, foyer, entryway and other living areas. Clear decorative glass. Pine croft decorative doors are designed for easy installation and come with hardware and track. Glass designs are made of safety glass except the mirror doors, which have a film on the back to control breakage. The Pine croft Bi-fold doors are made of 1-3/8 in. clear pine styles and rails. They come in unfinished pine ready to install. These doors will accommodate a finished opening height between 80 in. and 81 in. by adjusting the bottom pivot. The exact panel height is 78-5/8 in. to allow for top track, pivots and floor clearance.30 in. x 80-1/2 in.1-3/8 in. Flush stile and railClear stiles and rails-no finger jointsReady for painting or staining or available in prefinished whiteHeavy duty hardware and detailed instructions includedTempered safety glassGlass piece is filmed in plastic for ease in finishing"
107202,"TOGGLED LED tubes are designed to replace T8 and T12 fluorescent tubes. These UL listed, FCC compliant LED products use only 16-Watt of energy and are rated for 50,000 hours with a 5 year warranty. In addition, TOGGLED LED lights eliminate ballast systems, reduce facility lighting costs, enhance the quality of light and are mercury free. Installation requires basic re-wiring around ballast systems to non-shunted lamp holders. Non-shunted lamp holders are included with every tube to replace shunted lamp holders in lighting fixtures if necessary. TOGGLED is a Michigan manufacturer of LED products.Brightness: 1700 LumensEstimated yearly energy cost: $1.93 (based on 3 hours per day, 11 Cents/kWh, costs depend on rates and use)Life: over 46 years (based on 3 hours/day)Light appearance: 5000K (daylight)Energy used: 16-Watt (replaces 28-Watt - 40-Watt T8 and T12 fluorescent lamps)Lumens per watt: 106Uses 50% less energy compared to standard fluorescent lampsIdeal for recessed troffers, wrap fixtures, under cabinet fixtures, sealed fixtures, deep cell troffers and strip/shop fixturesShatterproof design incorporates a diffused lens and contains no glassContains mercury: noVoltage: 120-277 VACDesigned for direct connection to AC power"
107206,"Coordinating Claro wall plate and accessories sold separately. Let Lutron Maestro CFL/LED Occupancy Sensing Dimmers turn the lights on and off to your favorite level. It's a simple, easy, and low cost way to save energy and add light automation to your home. Install a Maestro Occupancy Sensing Dimmer and lights turn on when you enter the room, and then turn off automatically after you leave. The dimmer works just like a Lutron Maestro dimmer, gradually turning lights on and off, allowing your eyes to adjust to the new light level. Use the rocker to adjust the light level for any activity, or set the preset level to ensure lights always turn on to your desired light level. Equipped with ambient light detection, you can customize your sensing dimmer to detect daylight so lights don't turn on with enough natural light in your room. Keeping the sleek design of the Maestro family, Lutron sensors will match the decor of any room in your home. Install it in the laundry room for added convenience when your hands are full, or in the kids' rooms and never worry about lights being left on by mistake. Maestro Occupancy Sensing dimmers work with any bulb type, including dimmable CFLs and dimmable LEDs. This occupancy sensing dimmer can also be easily programmed to function as a vacancy (manual-on) sensor.Coordinating Claro wall plate and accessories sold separatelyMulti-location, single pole or 3-wayUp to 600-Watt of incandescent or halogen, 150-Watt of dimmable CFL or dimmable LEDWorks with mixed loads of bulbsAutomatically turn lights on and off based on room occupancyUses advanced XCT sensing technology, offering the most reliable on/off performance up to 30 ft.Senses daylight, so lights don't turn on inadvertently (optional)Can be switched to vacancy mode (manual-on, auto off)Programmable time-out of lights - 1, 5, 15 or 30 minutesProgrammable fade times for lights turning on and off - allows lights to come on and/or turn off graduallyEasily program the preset to automatically turn on the lights to your favorite levelCoordinating Claro wall plates and accessories sold separately"
107625,"This extension spring replaces most 7 ft. residential garage door springs. It features a steel cable that is installed through the spring to prevent injury in case of breakage. This spring is used on single car fiberglass garage doors.Includes safety cableOrange colored25 in.  long 50 lbsRated at 10,000 cycles"
107683,"Quiet 1 Pond and Water Garden Pumps Pro Series. Even better and quieter than before as much as 50% less. For submersible or dry applications.ECO-SAV generates more power with less energy consumptionInternal recirculation prevents overheating and ejects obstructing debrisRemarkable impeller technology provides combined rotors, improved shaft materials and corrosion resistant bearingsPond models include 20 ft. cord, foam pre-filter and nozzles for spray attachmentsHigh quality corrosion resistant ceramic bearings help ensure quiet operation and longer lifeInnovative cooling chambers provide air cooling during dry use and water cooling in wet applicationsHome Depot Protection Plan:"
107754,"Genie QuietLift 800 1/2 HPc DC Motor Belt Drive Garage Door features a 1/2 hp comparable DC motor for easy lifting of heavy doors up to 500 pounds in weight. The DC motor is perfect for smooth and reliable operation. The belt drive offers the most quiet operationand is perfect when the garage is located adjacent to living spaces. The unit features easy, one-touch limit setting for a soft start and soft stop. Intellicode technology automatically changes the access code on each activation and prevents unauthorized opening. Includes two 3-button remotes and multi-purpose wall console.1/2 HP comparable DC motor for easy lifting of heavy doors up to 500 lbs. works with 7 ft. tall sectional doors and one-piece doorsDC motor more powerful and reliable than AC motorsOpening and closing speed smooth and powerful at up to 7 in. per secondBelt drive system opens garage doors smoothly and quietly, perfect for garages adjacent to living spacesSteel reinforced belt drive for long life and quiet operationAccessories included: two wireless 3-button remotes and multi-function wall consoleTwo 60-Watt light bulbs (not included) brighten garageIntellicode technology changes the access code on each operation to prevent unauthorized entry for safety, securitySmartSet push button programming, detailed, illustration instructions included315 MHz and 390 MHz dual-frequency to prevent frequency interferenceSafe-T-Beam system auto-reverses garage door if LED infrared beam is interruptedDetailed, illustration programming and installation instructions includedHome Depot Protection Plan:"
107822,"TruLine Platinum Putt is a low pile, nylon, two tone green surface perfect for putting, batting cages, and all other court sports. Platinum Putt has an action backing the allows for easy cutting and installation. Bring the country club look and pliability to your home by using TruLine Platinum Putt.TruLine Platinum Putt is manufactured in 15 ft. wide rolls and can be cut to your custom length up to 100 linear feetTruLine Platinum Putt has a rubber action backing for easy installation and cuttingThis is a tufted product made in the USATruLine Platinum Putt contains no lead or heavy metals, and is safe for children and petsTruLine Platinum Putt is double tip sheared for a smooth putt or roll depending on the sport you are playing, perfect for golf, croquet, or bocceThere is no additional fee to cut the length of turf to fit your project, fibers are nylon and are double tip sheared for a true rollThis is a Custom Order - orders are sold in increments of 1 ft.  To order: place order and set order quantity to the desired length (ft.) of your turf.  EXAMPLE: if your order is for 10 ft. you will need to add a quantity of 10 to your order and you will recieve turf that is 10 ft. in length x stated width.Custom length products are not returnable"
107842,"This 600-Volt, grounded, jacketed cable wire is used primarily in residential wiring, including branch circuits for outlets, switches, etc. It may be installed in both exposed and concealed work in normally dry locations, and in air voids of masonry block or tile walls which are not subject to excessive moisture or dampness. It can be installed in locations with temperatures up to 90C but with the ampacity limited to that of 60C conductors. The added circuit is for use primarily in residential wiring for branch circuits supplying outlets located in bedrooms and other areas.75 ft.6-Gauge600-Volt3 conductors with groundIndoor residential electrical wireJacket color - blackUL listed"
107882,"The Tall Corner TV Cabinet is uniquely sized to be the perfect companion for your bedroom. Higher than most cabinets, it's ideal for watching TV from your bed. With space for TVs up to 100 lbs. (flat panel and CRT), an open shelf suitable to house your DVD player, PVR or gaming console and an enclosed cabinet with an adjustable shelf for additional components, this cabinet has room to spare.Designed for both flat panel  and LCD and conventional CRT TVs up to 100 lbs.Tip tested to stringent UL 1678 standardsOpen shelf for DVD player, PVR or gaming consoleEnclosed cabinet with adjustable shelfBack has a cutout for cable managementFinished in durable deep black laminateConstructed from CARB-compliant, laminated composite woodsShips ready to assemble, includes an instruction booklet for easy assembly and has a 5-year manufacturer's limited warranty on partsAssembled dimensions: 32 in. W x 32 in. H x 21 in. DInternal dimensions: 26.75 in. W x 5.5 in. H x 19.75 in. D (open shelf); 26.75 in. W x 18 in. H x 19.75 in. D (bottom)"
107892,"Use the RIDGID Auto-Clean K-30 to clear clogged tub, shower and sink drains quickly and easily. The machine has a compact and lightweight design, yet it is strong and powerful. Backed by a full lifetime warranty against material defects and workmanship. The K-30 Auto-Clean is designed for pipes between 1/4 in. and 1.5 in.Stay clean - cable is contained inside guide hose, which eliminates messes and provides protection from the rotating cableGet immediate results - The MAXCORE cable provides strength and for tough blockagesAll-in-one - the only too you need to clear sink, tub and shower drainsAutoFeed - 2-way AutoFeed will power the cable through tough blockages much faster and easier than by handMaxCore 50 cable - 1/4 in. x 30 ft. core cable provides 50% more cleaning powerLifetime warranty - designed to be lightweight and compact, yet strong and durableMotor is rated at 115-Volt, single phase, AC 1.1 Amp, 60 Hz, 450 RPM"
107906,"Never break your back again shoveling snow. The AirJet Shovel attachment transforms your leaf blower into a hurricane force snow blower. Snow and Ice are pulverized. No heavy lifting - the wind does all the work. Surfaces are effortlessly cleared and dried and may help eliminate the use of salt and other chemical deicing agents. Our attachment works great on driveways, sidewalks, steps and decks. Attaches to most oval and round exhaust tube leaf blowers. Recommended for leaf blowers with an output of 350 CFM or greater.Attaches in minutes - no tools are neededSmall, lightweight and easy to storeGlides smoothly on skids - helps eliminate scratching surfacesCan be used with one hand - no lifting is needed"
108038,The DV30 is a NCV Detector with a sensitivity adjustment to pinpoint the Voltage source. AC Voltage detection from 12-Volt to 600 VAC; category III-600-Volt. Complete with four LR44 button batteries and pocket clip.Audible and visible voltage indicationSelf-test functionSensitivity adjustment increases or reduces sensor trigger threshold1 year warranty
108086,The Home Decorator's Collection 29 in. White Replacement Wand is the perfect complement to your 2 in. Grandwood blind. This replacement wand is also easy to install. Simply hook on the wand and it is ready to use.Replacement piece is very easy to installDurable and long lastingAll hardware includedLimited lifetime warrantyNot sure what size to buy? Click here to download a printable window treatment measuring guide!
108271,"This Shepherd 18-1/4-28 in. Aluminum Steel Appliance Rollers (2-Pack) feature nonslip pads to help keep appliances from slipping off when moving. The rollers extend from 18-1/4 in. to 28 in.Easily moves many appliances and other heavy objectsSteel construction with an aluminum finishNon-slip pads help keep appliances from slipping off when movingExtends from 18-1/4 in. to 28 in.2,000 lb. load capacityNot recommended for use on cushioned vinyl floors"
108467,"The Sun Joe Hedger Joe HJ602C Lithium-Ion cordless grass shear/shrubber is 2 tools in 1 featuring an in. terchangeable blade system which allows you to easily convert from a grass shear to a shrubber for convenience and versatility. It is a great tool for touch up jobs around tight spaces. The 3.6-Volt rechargeable battery gives you the freedom of cordless operation with no hassle of cords. Both the 3.31 in. shear blade and the 5 in. shrubber blade are made from durable steel, including ears for easy handling when changing blades. Weighing just around 2 lb., this tool is lightweight with an ergonomic design to give you better control while trimming. It also comes with a safety switch preventing a ccidental start. This tool is ETL inspected and approved and comes with a full 2-year warranty from the manufacturer.Assembled dimension: 14.17 in. W x 3.35 in. D x 4.33 in. HSafety switchErgonomic handle5 in. grass shrubber blade3.31 in. grass shear bladeBattery charging indicator lightIncludes battery chargerETL approvedFull 2-year warrantyInstant startHome Depot Protection Plan:"
108719,"A curved front and beveled edges fashion a geometrically-unique basin in this Archer self-rimming bathroom sink in white. Inspired by intricate jewelry and Craftsman woodworking techniques, Kohler designers have blended subtle elements into an attractive drop-in sink that reflects a refined taste. Infuse a lustrous look into your powder room with this timeless rectangular basin.Constructed of durable vitreous china that resists chipping, scratching and fadingHigh-gloss nonporous surface keeps its shine for years of enjoymentOutfitted with front overflow drainAccommodates a 4 in. centerset faucet (holes predrilled in sink)Faucet, drain assembly and bathroom accessories not includedIncludes cutout template to trace countertop holeCoordinates with other items in the Archer product suiteAlso available in 9 other unique Kohler colorsAlternate models accommodate an 8 in. widespread faucet or single-hole faucet"
108740,"Enjoy a comfy and cozy evening in with the Hampton Bay Blairsville 5-Piece Patio Chat/Fire Pit Set. The chairs feature durable sling fabric and powder-coated steel frames, as well as hidden motion for added relaxation. The aluminum top fire pit has a hidden chamber in its base to fit a 20 lb. low propane (LP) gas tank.Powder-coated steel frames for durability and stabilityAll-weather sling fabric for low maintenanceAluminum slat top fire pit table for an upscale lookSling shroud fire pit base to conceal the gas tank20 lb. tank sold separately"
108884,"The Jiffy Starter Products 2-1/4 in. Peat Pots (26-Pack) can be used for herbs, flowers and vegetables. These pots are made of a combination of peat and wood pulp and are 100% biodegradable.Use for herbs, flowers and vegetablesMade of a combination of peat and wood pulp100% biodegradableIncludes 26 individual 2-1/4 in. round potsGrowing is Easy with Jiffy"
108894,"Flitz metal polish is a concentrated cream that has the ability to clean, polish, deoxidize and protect. Use on brass, copper, silver plate, sterling silver, chrome, stainless steel, nickel, bronze, solid gold, aluminum, anodized aluminum, beryllium, magnesium, platinum, pewter, factory hot gun bluing, painted surfaces, Formica, cultured marble, glass, Plexiglas, plastics and fiberglass. The product will remove tarnish, rust, water stains, chalking, lime deposits, heat discoloration, lead and powder residue, oxidation, bugs, tar, oil, fingerprints, tree sap, bird droppings, graffiti, dyes, black streaks and scuff marks. In addition, the product is USDA approved and non-toxic.USDA approvedCream formula and non-toxicTravel size 1.7 oz. tubeFlitz metal polish is a concentrated cream"
108995,"The small fliptop is ideal for your home office, craft room or even your classroom. The enhanced hinge latch lid ensures the cover will remain tightly closed during transport, while preventing the lid for being misplaced. The fliptop storage boxes are practical solutions for helping reduce clutter and keep small items contained.Modular in design, allowing the small fliptop to securely stack with the large fliptopHinged latch lid secures contentsClear base and lid for quick identification of contentsVersatile storage solution that is ideal for organizing crafts, office or classroom supplies, 4 in. x 6 in. photos, CDs, tools, emergency kit or other small items"
109226,"The Handy Home Products Somerset 10 ft. x 8 ft. Do-It-Yourself Wood Shed Kit with floor combines ultra-modern design with exceptional versatility. This multi-purpose, 10 ft. x 8 ft. blueprint features premium 2x4 wood framing and a robust 582 cu. ft. of storage capacity, providing that extra space you need to store all your outdoor yard tools and lawn gear. The functional Somerset also boasts a flexible door location - install your doors on eave or gable sides! The smart 6 ft. high side walls and an 8 ft. peak compliment the over-sized, 5 ft. 4 in. wide by 6 ft. high double doors with full-length galvanized steel hinges. A premium rust-resistant, keyed locking handle is included for improved security. This Do-It-Yourself wood shed kit can be easily assembled with a hammer, screwdriver, tape measure, level and stepladder.Do-It-Yourself, Pre-cut wood kit is ready to assemble with common household toolsPremium 2x4 wood construction - a natural choice for going GREENBeautiful, wood-grain embossed LP siding is factory-primed and ready to paint (paint sold separately)582 cu. ft. storage capacity supplies ample space to organize and store yard tools and gardening equipmentTall 8 ft. peak is supported by 6 ft. side walls - ready for your long-handled toolsOver-sized, 5 ft. 4 in. wide x 6 ft. high double doors are pre-assembled and offer easy accessFull-length, galvanized steel hinges provide strength and longevity for trouble-free operationFlexible door location - install your doors on eave or gable sidesINCLUDES four cross-buck designs - adds style and strength to your doorsINCLUDES premium rust-resistant, keyed locking handle for improved securityINCLUDES complete wood floor - treated floor frame with wood deckingCan be installed with a cement foundationAvailable curbside delivery ONLYPersonalize your Somerset the way you want it - Purchase paint and shingles (both sold separately)Simple, illustrated instructions included15-year limited material warrantyMFG Model # : 18502-1MFG Part # : 18502-1"
109283,"With a convertible design that offers both ducted and ductless installation, the Broan 46000 Series 30 in. Convertible Range Hood makes it easy to tackle tough venting jobs in your kitchen. The range hood's adjustable dial controls make it easy to choose between variable fan motor speeds.  The 220 CFM blower helps quickly remove smoke and cooking odors from the air. The reusable aluminum mesh filter removes easily from the hood and supports dishwasher cleaning, making maintenance a snap. 2-level cooktop lighting offers convenient illumination.  A 3-1/4 in. x 10 in. damper/adapter and a 7 in. round adapter are included for easy installation.Install as ducted or non-ducted to fit a variety of installation needsRotary dial controls for easy operationVariable motor speeds help you tackle a variety of venting jobs220 CFM blower helps quickly remove smoke and cooking odors from the airTop or rear exhaust option lets you connect the ductwork to suit your installation requirementReusable aluminum mesh filter is dishwasher safe for easy cleaning75-Watt cooktop lighting with protective polymeric lens for easy cooktop viewing (bulb not included)Includes a 3-1/4 in. x 10 in. damper/adapter and a 7 in. round adapter for easy installationMitered sides and hemmed bottom for safety and good looksOne year limited warrantyUL listed and HVI-2100 certified for your safety and protection"
109406,"Landmaster Commercial Landscape Fabric with Typar technology dramatically reduces weed growth by blocking sunlight and preventing weed germination. For permanent landscapes and under pavers, patios and sidewalks where a highly durable fabric is required. Landmaster Commercial has exceptional strength to weight ratio andunequaled water and air permeability.Medium weight commercial grade fabricStops weeds without chemicalsStrong spunbond polyester fabric is exceptionally strong and puncture resistantSaves on maintenance costsSecure with easy gardener fabric and garden staples"
109414,"Made of TiCo high-density carbide with titanium, the Diablo 10 in. x 84-Tooth Carbide Circular Saw Blade is designed to provide a long-lasting, durable blade. The Perma-shield non-stick coating reduces friction and pitch buildup. The Laser-cut blade prevents warping and provides a clean, smooth cut.Cuts woods, laminates, melamine and non-ferrous metalsTiCo high-density carbide construction for a strong, long-lasting bladeLaser-cut stabilizer ventsPerma-shield non-stick coating for less frictionFor best results when cutting laminate flooring, use a 10 in. table saw or a 10 in. slide miter saw, do not use a standard 10 in. compound miter saw"
109428,Attach fence panels to posts with the Premium Choice 1-1/2 in. White Powder-Coated Steel Fence Panel Mounting Bracket (4-Pack). These durable brackets offer corrosion resistance. Includes 4 mounting brackets and fasteners.Use to secure a fence panel to a postSteel constructionGalvanized for corrosion resistance1-1/2 in. DiameterWhite powder coated
109507,"The Ashburn Wall Mirror in Mahogany from Home Decorators Collection features a durable wood frame and decorative rectangular design to enhance both classic and modern decor. A rich mahogany finish brings classic sophistication to your bathroom area, coupled with clean lines and subtle designer detailing. The elegant mirror hangs vertically and comes with sleek brass mounting hardware for easy installation.28 in. W x 31.5 in. H, ideal above a bathroom vanityDurable wood frame construction for lasting supportDecorative rectangular design and transitional style offer a clean, elegant lookMahogany finish adds a warm, rich accentStrong, sleek brass mounting hardware included for vertical hangingFully assembled with installation hooks includedHanger mounts come pre-attached for easy hanging"
109524,"Your GE 30 in. 5.6 cu. ft. Slide-in Gas Range in Slate has Convection Bake and Convection Roast, plus a Self-Cleaning oven. The Precise Simmer burner allows cooking of delicate foods with low, even heat. The 17,000-BTU Power Boil burners deliver intense heat for fast boiling. The black gloss oven interior lets you enjoy a clean and sleek appearance. GE appliances provide up-to-date technology and exceptional quality to simplify the way you live. With a timeless appearance, this family of appliances is ideal for your family. And, coming from one of the most trusted names in America, you know that this entire selection of appliances is as advanced as it is practical.California residents: see&nbsp;Proposition 65 information5.6 cu. ft. oven allow you to cook multiple dishes at once, perfect for large holiday gatherings and every day in between5 burner gas range includes 17,000-BTU Power Boil burner for faster boiling of waterPrecise Simmer Burner delicate foods don't burn with low, even heatCenter Round Burner is ideal for delicate foods and saucesGas Convection Oven circulates heat for high-quality resultsIn oven broiler is perfect for grilling meats or melting cheeseStore pots and pan within easy reach in the lower storage drawerElectronic controls are easy to operateControl Lock disables the control panel to avoid unintended use or other changes to your cooking settingsSelf-clean oven cleans the oven cavity without the need for scrubbingOven window provides better visibility of the oven interior, allowing you to monitor cooking progress without opening the door, keeping oven temperatures steady and undisturbedWith a Black Gloss Oven Interior you will enjoy a clean and sleek appearanceThree oven racks can be configured in 6 positions to accommodate a variety of baking needsHeavy-Cast, Continuous Grates allow for easy movement of pans between burnersComes with a limited one year manufacturer's warrantyClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for this product"
109614,"Your Deluxe Built-In 30 in. Microwave Trim Kit in Stainless Steel provides a custom appearance and built-in convenience for your GE or GE Profile microwave. GE appliances provide up-to-date technology and exceptional quality to simplify the way you live. With a timeless appearance, this family of appliances is ideal for your family. And, coming from one of the most trusted names in America, you know that this entire selection of appliances is as advanced as it is practical.Deluxe trim kit for countertop microwave models PEM31 and JEM25 in Stainless SteelIncludes everything to set up your Microwave Trim Kit in a single package including Bottom/Side/Upper brackets plus applicable trim kit and screwsFire-resistant materials for added safetyInstallation of this appliance requires basic mechanical and electrical skills"
109648,"The FrankeUSA UDTS32/10 18 in. x 32 in. undermount single bowl sink. This sink features a satin rim and bowl finish. Undermount sinks allow for easy and quick countertop clean up.Features drain lines10 in. assembled heightUndermount installations require solid surface countertops, professional installation recommended for this application, template and hardware included18 gauge stainless steelUltra-Quiet  sound-deadening eliminates excess noise and vibration from heavy pots, pans and utensils"
109802,"The Border Edger is ideal to create clean borders around beds and walkways. The arched blade design cuts straight or curved trenches for unique shaped beds. Use the large step and sharp blade to cut and remove sod with ease.Unique footplate provides consistent cutting depthWorks well in straight lines or curvesCuts trenches and creates clean, finished lawn edges along driveways, lawns, and sidewalksDurable sharpened steel blade is useful to chop roots and stumpsSteel constructionNote: Product may vary by store"
109808,"Perfect for apartments, office kitchens or any small-sized kitchens; offers full-size power in a compact design. With a height of only 17.24"", this unit will fit between most countertop and cabinetry. Spacious cavity loads up to six standard place settings. Features automatic detergent and rinse-aid dispenser. Quick connect to most kitchen faucets eliminates the need for direct plumbing or permanent installation.Accommodates dishware up to 10.5 in. diameter6 standard place settingsSimple controls with indicator lights6 wash cycles, Heavy, normal, light, mini party, rinse and speedAutomatic detergent and rinse agent dispenserWater supply warning indicator indicates faucet/tap is not turned onRinse aid warning indicator - Indicates when rinse aid needs to be refilledUniversal faucet adapterQuick and easy connection to most kitchen faucetsEnergy consumption 203 kwh/yearWater consumption (normal cycle) 10.8 l / 2.85 gal.Input / Element wattage 684 Watt / 600 WattResidual heat is used for drying systemPower cord length 4.5 ft."
110075,"26 in. contemporary Infrared quartz electric fireplace insert is proven to warm a room up to 1000 sq. ft. with and maintains a soft, moist, safe heat without reducing oxygen or humidity. Features Metallic tray with gold, silver and clear reflective fire glass and the flame effect can be operated with or without heat for 4 seasons of enjoyment. Plugs into any standard 120-Volt 3-prong outlet. Safer Plug Fire Prevention Technology that prevents unsafe conditions by continuously monitoring the plug's temperature. The built-in thermostat automatically turns off the heater if it starts to overheat. Once the outlet and plug have cooled down, the heater will operate as normal.Spectrafire plus customizable flame effectMost customizable flame effect technology availableContemporary style insert: metallic tray with gold, silver and clear reflective fire glassInfrared heating technology1500-Watt/12.5-Amp; 5200 BTU's/hr heater is tested by independent testing lab and proven to heat up to 1000 sq. ft.Maintains a soft, moist, safe heat without reducing oxygen or humidityQuartz infrared element lifetime is over 20K hoursspectrafire plus: 125 total flame effect combinations5 flame speed settings allow you to adjust from a fast roaring fire down to a gentle flickering flame5 adjustable brightness settings allow the user to pick the perfect brightness for their environment and ambianceFlame effects: spectrafire, sapphire, amethyst, campfire, midnight fire and auto cycleHome Depot Protection Plan:"
110193,"This cable drive trim, provides the closure and stopper for all Westbrass cable drive rough-in. Close the adjustable drain by rotating the stopper. The additional stem makes it easier to operate the drain by adding leverage. Drain adjusts by raising and lowering the stopper screw depending on the height of the tubs.Overflow mounts with set screwStopper mounts using screwDrain seals with rubber washerDo not use plumber's putty for mounting, use silicone seal"
110431,These thumb tacks have a rounded flat head and a sharp steel point. Colored heads give a decorative appearance. Thumb tacks are great to have in the home or office for almost any use where light fastening to all wall or board is desired.California residents: see&nbsp;Proposition 65 information60 pieces per packSteel constructionWhite Finish13/32 in.Reusable package
110466,"8 in. Horsehair and Polypropylene Bristled Brush is perfect for control of fine dust and dust-like particles in your shop, school, church or home environments. Quality product made proudly by Sparta brush in the USA. A traditional version of a cleaning classic. Offered in the case pack for your purchasing needs.Perfect for sawdust, glass particles and everything in betweenProvides scratch less dusting of highly polished and delicate surfacesRemoves fine dust particles in commercial applicationsHandy hanging hole in handle extends service lifeBPA free"
110528,"FibaTape Perfect Finish is more than 30% thinner than standard paper drywall tape and regular fiberglass mesh tape - without compromising strength, making it ideal for all applications, especially butt-end joints. The fiberglass mesh construction prevents blistering and bubbling. FibaTape Perfect Finish is self-adhesive for easy application.Fiberglass mesh construction reduces the occurrence of blisters and bubblesWorks well for butt-end jointsThin profile for strength and a flat finishSelf-adhesive for easy installation300 ft. of tape"
110558,"With the introduction of the New M18 Cordless Shears, Milwaukee has the most innovative and largest cordless shear selection on the market. By redesigning the body, we provide an inline wrist design that maximizes control during use. Also adding the industry's only Tool-Free 360 rotating head, our new shears can be used where hand snips have been needed to finish the cut. These innovations brought to each of the 3 new Milwaukee Cordless Shears are changing the way tradesmen work on the jobsite today.360 tool-free rotating headSteel capacity: 18-GaugeStainless sleep capacity: 20-GaugeErgonomic body designVariable speed triggerCompatible charger: M18/M12 multi-voltage (48-59-1812), M18 AC/DC (2710-20)Compatible batteries: compact 1.5Ah (48-11-1815), compact 2.0Ah (48-11-1820), extra capacity 3.0Ah (48-11-1828), extended capacity 4.0Ah (48-11-1840)(1) 2637-20, (1) contractor bag, (1) belt clipHome Depot Protection Plan:"
